section_id,section_name,section_description,question_id,question_text,required,expected_type,enabled
SEC1,Systems States Processes and Cycles,Fundamental concepts of thermodynamic systems boundaries states processes and cycles,S1Q1,"★ For a piston-cylinder undergoing compression with heat transfer, define the system/boundary, identify heat/work interactions, write the closed-system energy balance, then discuss what the second law implies about irreversibility/entropy generation for real compression.",true,string,true
SEC1,Systems States Processes and Cycles,,S1Q2,"Define system, surroundings, boundary, and give one example each of a fixed/movable and real/imaginary boundary.",true,string,true
SEC1,Systems States Processes and Cycles,,S1Q3,"Distinguish closed, open (control volume), and isolated systems and explain what can cross the boundary in each case.",true,string,true
SEC1,Systems States Processes and Cycles,,S1Q4,"★ Using the vapor-compression refrigeration cycle example (system modeling) and the control-volume framework, classify each major component (compressor, condenser, expansion valve, evaporator) as an open system, and identify which energy terms (heat/work/enthalpy) dominate in each.",true,string,true
SEC1,Systems States Processes and Cycles,,S1Q5,"Explain what it means for a system to be in equilibrium and list the common equilibrium types discussed (thermal, mechanical, chemical, phase).",true,string,true
SEC1,Systems States Processes and Cycles,,S1Q6,"Define state, process, and cycle; explain why a process path must be specified to determine heat/work.",true,string,true
SEC1,Systems States Processes and Cycles,,S1Q7,"★ Compare how a P-v diagram (work/area) and a T-s diagram (entropy) are each used to analyze a cycle; connect the diagram choice to what you can infer from the first vs second law.",true,string,true
SEC1,Systems States Processes and Cycles,,S1Q8,"Define and contrast isobaric, isochoric, isothermal, adiabatic, isentropic processes; give a physical example for any two.",true,string,true
SEC1,Systems States Processes and Cycles,,S1Q9,Explain quasi-equilibrium (quasi-static) processes and why the text emphasizes them for analysis.,true,string,true
SEC1,Systems States Processes and Cycles,,S1Q10,"★ Explain why the first law alone cannot impose a maximum heat-to-work conversion limit, and how the second law supplies an efficiency bound for heat engines.",true,string,true
SEC2,Thermodynamic Properties Meaning Units and Measurement,Understanding pressure temperature specific volume internal energy and their measurement,S2Q1,"★ Explain how pressure, temperature, specific volume, and internal energy are used to define a state, and then describe how those properties appear differently in closed-system vs control-volume energy analyses.",true,string,true
SEC2,Thermodynamic Properties Meaning Units and Measurement,,S2Q2,"Define pressure as force per area; distinguish absolute pressure from gauge/vacuum pressure, and state when each is used.",true,string,true
SEC2,Thermodynamic Properties Meaning Units and Measurement,,S2Q3,Describe how a pressure gauge and a U-tube manometer measure pressure; explain what physical balance is being used.,true,string,true
SEC2,Thermodynamic Properties Meaning Units and Measurement,,S2Q4,"★ Using the zeroth law (temperature measurement) and the second law (direction of processes), explain why ""equal temperature"" is meaningful and why energy transfer has a preferred direction in real systems.",true,string,true
SEC2,Thermodynamic Properties Meaning Units and Measurement,,S2Q5,Define density and specific volume; explain how each typically varies with T and P for gases vs liquids.,true,string,true
SEC2,Thermodynamic Properties Meaning Units and Measurement,,S2Q6,Define internal energy and describe (microscopically and macroscopically) why it is strongly tied to temperature.,true,string,true
SEC2,Thermodynamic Properties Meaning Units and Measurement,,S2Q7,Define enthalpy and explain why it is especially useful in open systems with mass flow (flow work concept).,true,string,true
SEC2,Thermodynamic Properties Meaning Units and Measurement,,S2Q8,"★ Distinguish entropy (state function) from entropy generation (path/irreversibility measure), and explain how each appears in second-law analyses of devices and cycles.",true,string,true
SEC2,Thermodynamic Properties Meaning Units and Measurement,,S2Q9,"Explain what makes a property extensive vs intensive, and why specific properties are always intensive.",true,string,true
SEC2,Thermodynamic Properties Meaning Units and Measurement,,S2Q10,"★ A fluid passes through a turbine (steady flow) and also undergoes a closed-system compression in a piston cylinder elsewhere. Compare which properties (u, h, s) and which conservation equations you would prioritize for each, and why.",true,string,true
SEC3,Pure Substances Phase Change and Phase Diagrams,Phase behavior of pure substances including phase diagrams and property determination,S3Q1,"★ For water undergoing heating at constant pressure from compressed liquid → saturated mixture → superheated vapor, describe how you would locate states on a phase diagram, then explain what additional data you'd need from tables to compute energy/entropy changes.",true,string,true
SEC3,Pure Substances Phase Change and Phase Diagrams,,S3Q2,"Define pure substance and explain why air can sometimes be treated as a pure substance even though it's a mixture.",true,string,true
SEC3,Pure Substances Phase Change and Phase Diagrams,,S3Q3,Describe the three phases of a pure substance and the conditions under which phase change occurs.,true,string,true
SEC3,Pure Substances Phase Change and Phase Diagrams,,S3Q4,"★ Explain how the concepts of quality (x) in saturated mixtures and control-volume enthalpy combine when analyzing a boiler or condenser section of a power/refrigeration cycle.",true,string,true
SEC3,Pure Substances Phase Change and Phase Diagrams,,S3Q5,"Identify and interpret key features on a typical P-v or T-v phase diagram (saturation lines, two-phase region, critical point conceptually).",true,string,true
SEC3,Pure Substances Phase Change and Phase Diagrams,,S3Q6,"Explain the difference between a compressed (subcooled) liquid, saturated liquid, saturated vapor, and superheated vapor.",true,string,true
SEC3,Pure Substances Phase Change and Phase Diagrams,,S3Q7,"★ Compare an Otto cycle description (P-v focus) to a vapor-compression cycle description (phase change focus). What does each cycle require you to track (properties/diagrams) to evaluate performance?",true,string,true
SEC3,Pure Substances Phase Change and Phase Diagrams,,S3Q8,Explain how phase equilibrium relates to the idea of an equilibrium state and why that matters for table lookups.,true,string,true
SEC3,Pure Substances Phase Change and Phase Diagrams,,S3Q9,"Using the book's phase-diagram logic, describe how you would determine whether a state at given P and T is single-phase or two-phase (conceptual procedure).",true,string,true
SEC3,Pure Substances Phase Change and Phase Diagrams,,S3Q10,"★ A working fluid transitions through two-phase regions in one device but stays single-phase gas in another. Explain how your property-determination strategy changes, and how that change affects first-law and second-law calculations.",true,string,true
SEC4,Thermodynamic Tables and Property Retrieval,Using thermodynamic tables and appendices for property determination,S4Q1,"★ Outline a full workflow for solving a real device problem that requires: identifying system type, selecting appropriate tables (Appendices), obtaining u/h/s, and applying both energy and entropy balances.",true,string,true
